pipeline,dataset,model,cell,present
phase1,fracas-extended,llama-3.3-70b,zero-shot/en,True
phase1,fracas-extended,llama-3.3-70b,zero-shot/el,True
phase1,fracas-extended,llama-3.3-70b,few-shot/en,True
phase1,fracas-extended,llama-3.3-70b,few-shot/el,True
phase1,fracas-extended,llama-4-maverick,zero-shot/en,True
phase1,fracas-extended,llama-4-maverick,zero-shot/el,True
phase1,fracas-extended,llama-4-maverick,few-shot/en,True
phase1,fracas-extended,llama-4-maverick,few-shot/el,True
phase1,fracas-extended,mistral-large-3,zero-shot/en,True
phase1,fracas-extended,mistral-large-3,zero-shot/el,True
phase1,fracas-extended,mistral-large-3,few-shot/en,True
phase1,fracas-extended,mistral-large-3,few-shot/el,True
phase1,fracas-multilabel,gpt-4o,zero-shot/en,True
phase1,fracas-multilabel,gpt-4o,zero-shot/el,True
phase1,fracas-multilabel,gpt-4o,few-shot/en,True
phase1,fracas-multilabel,gpt-4o,few-shot/el,True
phase1,fracas-multilabel,gpt-5.4,zero-shot/en,True
phase1,fracas-multilabel,gpt-5.4,zero-shot/el,True
phase1,fracas-multilabel,gpt-5.4,few-shot/en,True
phase1,fracas-multilabel,gpt-5.4,few-shot/el,True
phase1,fracas-multilabel,deepseek-r1,zero-shot/en,True
phase1,fracas-multilabel,deepseek-r1,zero-shot/el,True
phase1,fracas-multilabel,deepseek-r1,few-shot/en,True
phase1,fracas-multilabel,deepseek-r1,few-shot/el,True
phase1,fracas-multilabel,deepseek-v4-pro,zero-shot/en,True
phase1,fracas-multilabel,deepseek-v4-pro,zero-shot/el,True
phase1,fracas-multilabel,deepseek-v4-pro,few-shot/en,True
phase1,fracas-multilabel,deepseek-v4-pro,few-shot/el,True
phase1,fracas-multilabel,grok-4-20,zero-shot/en,True
phase1,fracas-multilabel,grok-4-20,zero-shot/el,True
phase1,fracas-multilabel,grok-4-20,few-shot/en,True
phase1,fracas-multilabel,grok-4-20,few-shot/el,True
phase1,fracas-multilabel,grok-4-20-reasoning,zero-shot/en,True
phase1,fracas-multilabel,grok-4-20-reasoning,zero-shot/el,True
phase1,fracas-multilabel,grok-4-20-reasoning,few-shot/en,True
phase1,fracas-multilabel,grok-4-20-reasoning,few-shot/el,True
phase1,fracas-multilabel,llama-3.3-70b,zero-shot/en,True
phase1,fracas-multilabel,llama-3.3-70b,zero-shot/el,True
phase1,fracas-multilabel,llama-3.3-70b,few-shot/en,True
phase1,fracas-multilabel,llama-3.3-70b,few-shot/el,True
phase1,fracas-multilabel,llama-4-maverick,zero-shot/en,True
phase1,fracas-multilabel,llama-4-maverick,zero-shot/el,True
phase1,fracas-multilabel,llama-4-maverick,few-shot/en,True
phase1,fracas-multilabel,llama-4-maverick,few-shot/el,True
phase1,fracas-multilabel,mistral-large-3,zero-shot/en,True
phase1,fracas-multilabel,mistral-large-3,zero-shot/el,True
phase1,fracas-multilabel,mistral-large-3,few-shot/en,True
phase1,fracas-multilabel,mistral-large-3,few-shot/el,True
phase1,oyxoy,gpt-4o,zero-shot/en,True
phase1,oyxoy,gpt-4o,zero-shot/el,True
phase1,oyxoy,gpt-4o,few-shot/en,True
phase1,oyxoy,gpt-4o,few-shot/el,True
phase1,oyxoy,gpt-5.4,zero-shot/en,True
phase1,oyxoy,gpt-5.4,zero-shot/el,True
phase1,oyxoy,gpt-5.4,few-shot/en,True
phase1,oyxoy,gpt-5.4,few-shot/el,True
phase1,oyxoy,deepseek-r1,zero-shot/en,True
phase1,oyxoy,deepseek-r1,zero-shot/el,True
phase1,oyxoy,deepseek-r1,few-shot/en,True
phase1,oyxoy,deepseek-r1,few-shot/el,True
phase1,oyxoy,deepseek-v4-pro,zero-shot/en,True
phase1,oyxoy,deepseek-v4-pro,zero-shot/el,True
phase1,oyxoy,deepseek-v4-pro,few-shot/en,True
phase1,oyxoy,deepseek-v4-pro,few-shot/el,True
phase1,oyxoy,grok-4-20,zero-shot/en,True
phase1,oyxoy,grok-4-20,zero-shot/el,True
phase1,oyxoy,grok-4-20,few-shot/en,True
phase1,oyxoy,grok-4-20,few-shot/el,True
phase1,oyxoy,grok-4-20-reasoning,zero-shot/en,True
phase1,oyxoy,grok-4-20-reasoning,zero-shot/el,True
phase1,oyxoy,grok-4-20-reasoning,few-shot/en,True
phase1,oyxoy,grok-4-20-reasoning,few-shot/el,True
phase1,oyxoy,llama-3.3-70b,zero-shot/en,True
phase1,oyxoy,llama-3.3-70b,zero-shot/el,True
phase1,oyxoy,llama-3.3-70b,few-shot/en,True
phase1,oyxoy,llama-3.3-70b,few-shot/el,True
phase1,oyxoy,llama-4-maverick,zero-shot/en,True
phase1,oyxoy,llama-4-maverick,zero-shot/el,True
phase1,oyxoy,llama-4-maverick,few-shot/en,True
phase1,oyxoy,llama-4-maverick,few-shot/el,True
phase1,oyxoy,mistral-large-3,zero-shot/en,True
phase1,oyxoy,mistral-large-3,zero-shot/el,True
phase1,oyxoy,mistral-large-3,few-shot/en,True
phase1,oyxoy,mistral-large-3,few-shot/el,True
judge,fracas,gpt-4o,zero-shot/en,True
fol,fracas,gpt-4o,c1,True
judge,fracas,gpt-5.4,zero-shot/en,True
fol,fracas,gpt-5.4,c1,True
judge,fracas,deepseek-r1,zero-shot/en,True
fol,fracas,deepseek-r1,c1,True
judge,fracas,deepseek-v4-pro,zero-shot/en,True
fol,fracas,deepseek-v4-pro,c1,True
judge,fracas,grok-4-20,zero-shot/en,True
fol,fracas,grok-4-20,c1,True
judge,fracas,grok-4-20-reasoning,zero-shot/en,True
fol,fracas,grok-4-20-reasoning,c1,True
judge,fracas,llama-3.3-70b,zero-shot/en,True
fol,fracas,llama-3.3-70b,c1,True
judge,fracas,llama-4-maverick,zero-shot/en,True
fol,fracas,llama-4-maverick,c1,True
judge,fracas,mistral-large-3,zero-shot/en,True
fol,fracas,mistral-large-3,c1,True
judge,fracas-translated,gpt-4o,zero-shot/en,True
fol,fracas-translated,gpt-4o,c1,True
judge,fracas-translated,gpt-5.4,zero-shot/en,True
fol,fracas-translated,gpt-5.4,c1,True
judge,fracas-translated,deepseek-r1,zero-shot/en,True
fol,fracas-translated,deepseek-r1,c1,True
judge,fracas-translated,deepseek-v4-pro,zero-shot/en,True
fol,fracas-translated,deepseek-v4-pro,c1,True
judge,fracas-translated,grok-4-20,zero-shot/en,True
fol,fracas-translated,grok-4-20,c1,True
judge,fracas-translated,grok-4-20-reasoning,zero-shot/en,True
fol,fracas-translated,grok-4-20-reasoning,c1,True
judge,fracas-translated,llama-3.3-70b,zero-shot/en,True
fol,fracas-translated,llama-3.3-70b,c1,True
judge,fracas-translated,llama-4-maverick,zero-shot/en,True
fol,fracas-translated,llama-4-maverick,c1,True
judge,fracas-translated,mistral-large-3,zero-shot/en,True
fol,fracas-translated,mistral-large-3,c1,True
judge,fracas-extended,gpt-4o,zero-shot/en,False
fol,fracas-extended,gpt-4o,c1,True
judge,fracas-extended,gpt-5.4,zero-shot/en,False
fol,fracas-extended,gpt-5.4,c1,True
judge,fracas-extended,deepseek-r1,zero-shot/en,False
fol,fracas-extended,deepseek-r1,c1,True
judge,fracas-extended,deepseek-v4-pro,zero-shot/en,False
fol,fracas-extended,deepseek-v4-pro,c1,True
judge,fracas-extended,grok-4-20,zero-shot/en,False
fol,fracas-extended,grok-4-20,c1,True
judge,fracas-extended,grok-4-20-reasoning,zero-shot/en,False
fol,fracas-extended,grok-4-20-reasoning,c1,True
judge,fracas-extended,llama-3.3-70b,zero-shot/en,False
fol,fracas-extended,llama-3.3-70b,c1,True
judge,fracas-extended,llama-4-maverick,zero-shot/en,False
fol,fracas-extended,llama-4-maverick,c1,True
judge,fracas-extended,mistral-large-3,zero-shot/en,False
fol,fracas-extended,mistral-large-3,c1,True
judge,fracas-multilabel,gpt-4o,zero-shot/en,True
fol,fracas-multilabel,gpt-4o,c1,True
judge,fracas-multilabel,gpt-5.4,zero-shot/en,True
fol,fracas-multilabel,gpt-5.4,c1,True
judge,fracas-multilabel,deepseek-r1,zero-shot/en,True
fol,fracas-multilabel,deepseek-r1,c1,True
judge,fracas-multilabel,deepseek-v4-pro,zero-shot/en,True
fol,fracas-multilabel,deepseek-v4-pro,c1,True
judge,fracas-multilabel,grok-4-20,zero-shot/en,True
fol,fracas-multilabel,grok-4-20,c1,True
judge,fracas-multilabel,grok-4-20-reasoning,zero-shot/en,True
fol,fracas-multilabel,grok-4-20-reasoning,c1,True
judge,fracas-multilabel,llama-3.3-70b,zero-shot/en,True
fol,fracas-multilabel,llama-3.3-70b,c1,True
judge,fracas-multilabel,llama-4-maverick,zero-shot/en,True
fol,fracas-multilabel,llama-4-maverick,c1,True
judge,fracas-multilabel,mistral-large-3,zero-shot/en,True
fol,fracas-multilabel,mistral-large-3,c1,True
judge,oyxoy,gpt-4o,zero-shot/en,True
fol,oyxoy,gpt-4o,c1,True
judge,oyxoy,gpt-5.4,zero-shot/en,True
fol,oyxoy,gpt-5.4,c1,True
judge,oyxoy,deepseek-r1,zero-shot/en,True
fol,oyxoy,deepseek-r1,c1,True
judge,oyxoy,deepseek-v4-pro,zero-shot/en,True
fol,oyxoy,deepseek-v4-pro,c1,True
judge,oyxoy,grok-4-20,zero-shot/en,True
fol,oyxoy,grok-4-20,c1,True
judge,oyxoy,grok-4-20-reasoning,zero-shot/en,True
fol,oyxoy,grok-4-20-reasoning,c1,True
judge,oyxoy,llama-3.3-70b,zero-shot/en,True
fol,oyxoy,llama-3.3-70b,c1,True
judge,oyxoy,llama-4-maverick,zero-shot/en,True
fol,oyxoy,llama-4-maverick,c1,True
judge,oyxoy,mistral-large-3,zero-shot/en,True
fol,oyxoy,mistral-large-3,c1,True
